ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,localdurationandpitch
ʋ,-1,1,-1,1,0,-1,-1,0,1,-1,-1,1,-1,0,1,0,0,0,-1,-1,0,-1,0,0,0
ʀ,-1,1,1,1,0,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0,0
ʙ,-1,1,1,1,0,-1,-1,0,1,-1,-1,1,-1,0,1,0,0,0,-1,-1,0,-1,0,0,0
ʟ,-1,1,1,1,0,1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,0,-1,-1,0,-1,0,0,0
ɭ,-1,1,1,1,0,1,-1,0,1,-1,-1,-1,1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0
ɽ,-1,1,1,1,0,-1,-1,0,1,-1,-1,-1,1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0
ʎ,-1,1,1,1,0,1,-1,0,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,0,0,0
r,-1,1,1,1,0,-1,-1,0,1,-1,-1,1,1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0
r̪,-1,1,1,1,0,-1,-1,0,1,-1,-1,1,1,1,-1,0,0,0,-1,-1,0,-1,0,0,0
ɫ,-1,1,1,1,0,1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,0,-1,0,0,0
ɺ,-1,1,1,1,0,1,-1,0,1,-1,-1,1,1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0
ɾ,-1,1,1,1,0,-1,-1,0,1,-1,-1,1,1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0
ʍ,-1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,1,-1,1,1,-1,0,-1,0,0,0
h,-1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
j,-1,1,-1,1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0,0
w,-1,1,-1,1,-1,-1,-1,0,1,-1,-1,-1,-1,0,1,1,-1,1,1,-1,0,-1,0,0,0
