target_lang|closest_lang_0|tree_dist_0|closest_lang_1|tree_dist_1|closest_lang_2|tree_dist_2|closest_lang_3|tree_dist_3|closest_lang_4|tree_dist_4
wri|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
wrk|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
wrl|pjt|0.4|ura|0.25|cbu|0.25|con|0.25|ata|0.25
wrm|pjt|0.46153846153846156|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333
wrn|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wro|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wrp|amk|0.7|apb|0.5555555555555556|tnk|0.5263157894736842|bgt|0.5263157894736842|bnp|0.5263157894736842
wrr|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
wrs|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
wru|blz|0.6|agn|0.375|tbl|0.35294117647058826|jvn|0.35294117647058826|jav|0.35294117647058826
wrv|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
wrw|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wrx|nfa|0.6666666666666666|hvn|0.6666666666666666|lex|0.47619047619047616|kje|0.47619047619047616|txq|0.45454545454545453
wry|guj|0.8|bgc|0.7368421052631579|hin|0.7|urd|0.7|mjl|0.5555555555555556
wrz|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
wsa|amk|0.6666666666666666|apb|0.5263157894736842|tnk|0.5|bgt|0.5|bnp|0.5
wsi|tgp|0.75|upv|0.6363636363636364|lww|0.6086956521739131|klv|0.5833333333333334|apb|0.5714285714285714
wsk|boj|0.46153846153846156|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222
wsr|awb|0.8571428571428571|agd|0.7142857142857143|tbg|0.6153846153846154|omw|0.6153846153846154|bjr|0.6153846153846154
wss|nko|0.6666666666666666|ncu|0.6086956521739131|fon|0.4444444444444444|soy|0.375|ikk|0.35294117647058826
wsv|pan|0.6666666666666666|snd|0.6666666666666666|mjl|0.5882352941176471|hns|0.5555555555555556|ory|0.5555555555555556
wtf|boj|0.6666666666666666|ura|0.25|cbu|0.25|con|0.25|ata|0.25
wth|ura|0.2|cbu|0.2|con|0.2|ata|0.2|hun|0.18181818181818182
