target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
ncj|mit|0.22556867188811378|0.010643723404044542|0.11764705882352941|0.5484152334367673|miz|0.22642264695580616|0.013205648607121777|0.11764705882352941|0.5484152334367673|mih|0.22670033231615708|0.020574652400592797|0.1111111111111111|0.5484152334367673|mio|0.22690855042316171|0.02119930672160668|0.1111111111111111|0.5484152334367673|mxt|0.22705358732678418|0.021634417432474136|0.1111111111111111|0.5484152334367673
ncl|mxq|0.16300353558900973|0.0406543854479726|0.11764705882352941|0.3307091624955272|mco|0.1636485435457881|0.04258940931830766|0.11764705882352941|0.3307091624955272|cnt|0.18014792111551658|0.03627024708256066|0.1111111111111111|0.39306240515287794|cuc|0.18034426859162264|0.03685928951087891|0.1111111111111111|0.39306240515287794|cpa|0.18046698660555813|0.037227443552685306|0.1111111111111111|0.39306240515287794
ncu|knf|0.1544612974624937|0.08769457258965452|0.0|0.3756893197978266|gng|0.18184286953323617|0.012800848199400713|0.20689655172413793|0.3258312086761699|bjv|0.18323012154268561|0.09662373359136943|0.08695652173913043|0.36611010929755694|sus|0.18511438113779724|0.07294563700134966|0.1|0.38239750641204207|kyq|0.18806066034712585|0.10283377650572531|0.09523809523809523|0.36611010929755694
ndj|luo|0.21318740575025993|0.042175611903557134|0.1111111111111111|0.4862754942361116|udu|0.21778170853629308|0.09761158491249655|0.13333333333333333|0.4224002073630494|bjv|0.22362044682652252|0.1401924389493475|0.1|0.4306689015302201|kyq|0.23017235850116757|0.14873706286217156|0.1111111111111111|0.4306689015302201|mqb|0.23105326101006263|0.16093616569831323|0.125|0.4072236173318746
nfa|urt|0.20137687017430117|0.11800388900582934|0.14285714285714285|0.34326957865993135|rop|0.20612976268660713|0.09040865248863739|0.08333333333333333|0.44464730223785076|tcs|0.2113707341694938|0.10946490027063066|0.08|0.44464730223785076|tpi|0.21995344845961587|0.1352130431409968|0.08|0.44464730223785076|msy|0.22145651057397622|0.1275089365838256|0.11764705882352941|0.4192135363145737
ngp|luo|0.19053134635610028|0.03220982244856602|0.08695652173913043|0.4524276948806044|bjv|0.20430107833606118|0.1384325461608363|0.08|0.39447068884734726|kyq|0.20881847986749466|0.14502822901600632|0.08695652173913043|0.39447068884734726|amf|0.2345657007509879|0.060394180481875184|0.1|0.5433029217710884|udu|0.24001812187521884|0.08487508543382205|0.1|0.5351792801918345
ngu|tac|0.17714908382557104|0.06990878993825154|0.46153846153846156|0.0|mxq|0.18049907436152388|0.017588649843677168|0.13333333333333333|0.39057523990756104|mco|0.1811224926987048|0.019458904855219977|0.13333333333333333|0.39057523990756104|tos|0.1830586085889038|0.0157434430020075|0.14285714285714285|0.39057523990756104|toc|0.18327711478958816|0.016398961604060604|0.14285714285714285|0.39057523990756104
nhe|tac|0.1634027365179238|0.06163678098234286|0.42857142857142855|0.0|toc|0.17566890928950304|0.003098154627614792|0.13333333333333333|0.39057523990756104|tos|0.17599611063100898|0.0040797586521326475|0.13333333333333333|0.39057523990756104|mxq|0.1803607172551658|0.02550691185793643|0.125|0.39057523990756104|mco|0.18058731674993736|0.026186710342250997|0.125|0.39057523990756104
nhu|knf|0.23888691130200354|0.1480428434136466|0.0|0.568617890492364|daa|0.24659144695205973|0.05349471842923106|0.1|0.5862796224269482|wol|0.2584636209952528|0.14995187184416955|0.0|0.6254389911415887|bjv|0.2667134052976721|0.038955675543378296|0.09523809523809523|0.6659464451115429|slv|0.2677746646745969|0.2218677064151676|0.10526315789473684|0.47619312971388617
nhw|tac|0.16187282315845472|0.057047040903935656|0.42857142857142855|0.0|toc|0.17705815769517552|0.007265899844632128|0.13333333333333333|0.39057523990756104|tos|0.17734854668289102|0.008137066807778707|0.13333333333333333|0.39057523990756104|mxq|0.18158061393254332|0.02916660189006898|0.125|0.39057523990756104|mco|0.18187524043047962|0.03005048138387784|0.125|0.39057523990756104
