target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
ipi|kyc|0.005731985636835691|imo|0.006506920708782616|med|0.007017769996797006|urt|0.010225286684942065|gam|0.010537309778186994
isl|gle|0.06597251545050659|cym|0.07760530852803098|eng|0.07824035218106891|dan|0.09312213824519323|nld|0.09488683236856857
ita|lat|0.006403946857587368|bos|0.018352733004501433|hrv|0.019257494766994718|slv|0.019715164679749146|oci|0.024259434632579378
jac|knj|0.0010290321361985687|agu|0.0026116462342385804|ttc|0.0026583289551133475|usp|0.00446279248199468|lac|0.007632091151327572
jav|ind|0.003002081420291625|iba|0.05418499553035684|ptu|0.05917715100275477|zlm|0.06014769621041813|mqj|0.06052802014707411
jic|cab|0.003847298741116372|caa|0.01186629478350894|kek|0.012503129228358717|mop|0.014331687153353671|bzj|0.017313236255840636
jiv|hub|0.003202398204975772|acu|0.006193285786324822|cbu|0.00821252474413058|agr|0.010328887251762984|cbt|0.014259008922617198
jvn|hns|0.003927277989006485|srn|0.0040327479758059965|srm|0.006850757532027331|djk|0.007266160273946505|car|0.012247591347034409
kam|kik|0.01001273739226369|luo|0.019628197507659935|sxb|0.02171933343423222|ziw|0.02231461551894807|ngp|0.02320579664618113
kan|tel|0.021068502678340265|mal|0.022374413883415798|tam|0.022465354570912238|mar|0.02422221916065302|guj|0.05691340436085023
kaq|shp|0.003845656146907357|qvs|0.012724775813303208|cbr|0.01279850922843923|ura|0.013419248991251416|cbt|0.014598396091145898
kat|hye|0.011473682297090743|azj|0.012232606549255644|glk|0.03688559609947318|tur|0.04728790854647314|sdh|0.05119940395813495
kaz|uzn|0.057792026057204834|tgk|0.0695346753989556|rus|0.08062547854874207|chv|0.08390294565336805|bhd|0.10092510344839434
kdc|ruf|0.002653875412141438|cwe|0.005167637502923065|vid|0.005379162566836574|swh|0.00578046199441166|ngp|0.008025909949979735
kde|mgh|0.006982274240235511|wmw|0.010201304634017246|nnq|0.010717401128522347|swh|0.01833210035739974|poy|0.021115291546846934
kdl|bqp|0.00316640088028245|bus|0.005979957600023696|bqc|0.008162244542715897|bba|0.010379176378953655|mkl|0.012783201328315483
kea|wol|0.04423684616261334|knf|0.04528765487935299|sus|0.061302177482975485|yal|0.07263970103600474|spp|0.09787616719741472
kek|caa|0.003102417223376229|mop|0.005474296217071377|acr|0.006176817407353285|usp|0.008824429000153358|agu|0.01111455615590261
ken|bss|0.003679436940451904|nhu|0.007099496688367627|ibo|0.013927384206533692|ikk|0.018492203370364727|nin|0.01959826584145215
kfs|mjl|0.001956221133015243|xnr|0.0032845388421839914|kfx|0.004164605671121775|bfz|0.004586145607865863|gbk|0.0054307971775700405
kfx|mjl|0.0022659740473741|kfs|0.004164605671121775|bfz|0.004631966272761315|gbk|0.0047923925145930265|xnr|0.004804257563199356
khm|lao|0.04080331767311643|vie|0.04791258078097269|zsm|0.05281408076270615|zlm|0.0574391888149468|iba|0.07028982032724122
kik|kam|0.01001273739226369|luo|0.012904733593383377|spy|0.013503508435303967|sxb|0.015015217888939949|lug|0.025964125145217454
kje|lex|0.004272634128540266|mkn|0.022990673620357387|rgu|0.02534913464290702|llg|0.0271572265724909|txq|0.027821834574687655
klv|lww|0.0030898327215899734|upv|0.0037327832285545866|tgp|0.006955573999726547|tnn|0.017700185382173408|tnp|0.0185199415919415
kmu|kyg|0.0007023381602430015|awb|0.0017149012626458844|omw|0.0018189217087585645|snp|0.00222109403967796|agd|0.002236989622727192
kne|prf|0.008998481976444624|sgb|0.009261797076419305|fil|0.0294596256455615|agn|0.03540987118198419|cgc|0.035612575253575134
knf|sus|0.016560985488634376|wol|0.01666231968982265|yal|0.027450863014254676|kea|0.04528765487935299|spp|0.053836231677511386
knj|jac|0.0010290321361985687|ttc|0.0016321571250080362|agu|0.0031773881906000407|usp|0.005265015608208211|lac|0.008208834557612274
kor|cmn|0.04865623439688831|xng|0.09652536477834431|prf|0.11600587961569245|kne|0.11866941617673948|sgb|0.12788116774516708
ksr|bmu|0.0010226125357517153|ded|0.0012064184480142428|mpp|0.0017113240775486363|bzh|0.00439777575188535|met|0.005093371846453836
kue|gam|0.0009369228964049641|snp|0.0019478790408601022|med|0.0038504860717082563|kyg|0.004146593126019109|kmu|0.004168967382558888
kvn|emp|0.004973241343868433|noa|0.005569303641663261|cuk|0.009244255862550744|sja|0.020322705944808943|sab|0.02280897003584047
kwd|kwf|0.00133059910388949|lgl|0.001394040886116897|far|0.0020021837287899588|nlg|0.00432393873084455|apb|0.0045965311480884044
kwf|lgl|0.0004857471654866143|far|0.0009771281378142872|kwd|0.00133059910388949|nlg|0.0037527764371012066|bgt|0.005724225173496886
kwi|cbi|0.004829743821848795|inb|0.0083158947491985|con|0.008796996241867867|cof|0.009333735124402925|gum|0.012273644027545941
kyc|med|0.0013472930262773235|imo|0.0034204542362454345|gam|0.004835272744322739|kue|0.005197626750013171|ipi|0.005731985636835691
kyf|yre|0.00574782192952921|cme|0.018104606330996687|spp|0.024394702973015693|box|0.02733609183015679|myk|0.029675824442103635
kyg|kmu|0.0007023381602430015|awb|0.0017010363285354262|snp|0.002249404275453576|omw|0.0024143364758506093|tbg|0.0027458446218418075
kyq|daa|0.0029063229793498987|bjv|0.01770391467518639|muy|0.021947214263006526|mqb|0.022286045591169618|meq|0.022741657304514325
kyz|pab|0.020936194274843237|nab|0.027521393248155657|txu|0.02875393447114719|gyr|0.04169349735805664|cax|0.045486013712269076
lac|ctu|0.006137193588889321|jac|0.007632091151327572|knj|0.008208834557612274|agu|0.009368245720266974|ttc|0.009390261076357365
lao|vie|0.019690217555141165|atb|0.03562138003108588|khm|0.04080331767311643|cek|0.05031307952877392|zyp|0.05167699694133307
lat|ita|0.006403946857587368|bos|0.02168293150620734|hrv|0.024771374130812304|slv|0.02590199647735433|oci|0.026051550509280038
lbb|rai|0.002067851737619425|mee|0.009107457624804496|ata|0.010915782139279516|mbh|0.013598538693299527|bnp|0.0155317456714415
lex|kje|0.004272634128540266|mkn|0.026313989026344617|alp|0.02813340645349952|rgu|0.028609753130091047|llg|0.03035810371462097
lgl|kwf|0.0004857471654866143|kwd|0.001394040886116897|far|0.00142765504724448|nlg|0.003298349454084983|bgt|0.005497589150480756
lid|tbc|0.014694677400133962|gai|0.015224492990069857|msy|0.01558677401260746|geb|0.01593478332348591|apr|0.017898976646812798
lin|umb|0.044859286198142466|mcp|0.04890308433722392|bss|0.060343946623571024|ken|0.06374649231327101|nhu|0.06510236643979533
lit|lvs|0.01033761584035502|bel|0.011915128687357003|ekk|0.0197952110397116|pol|0.02548455828382424|swe|0.03253865493781516
llg|txq|0.0006953691392628046|rgu|0.001876772218594292|nfa|0.0023344111253823887|mkn|0.004276403986567159|hvn|0.006915778461346576
loz|toi|0.012641629491464232|sna|0.026784401832016476|afr|0.03637332191712479|nya|0.04601064104935636|bem|0.046300589611467845
ltz|nld|0.01350071210529699|fra|0.01786952772002082|deu|0.023734383933176995|dan|0.030830157908591015|oci|0.030909984492795837
lug|sxb|0.014097938915115925|spy|0.014122323038374612|luo|0.01573782649244097|kik|0.025964125145217454|amf|0.03433925469200205
luo|sxb|0.00215362073442272|spy|0.010801430150231836|kik|0.012904733593383377|lug|0.01573782649244097|kam|0.019628197507659935
lvs|ekk|0.010186611807004422|lit|0.01033761584035502|bel|0.021590376425347717|swe|0.024811080853580858|pol|0.03355304733672475
lww|klv|0.0030898327215899734|upv|0.006716172594018796|tgp|0.009897393642503272|tnn|0.015335527606912442|tnp|0.016144220597818358
maj|vmy|0.0005265320993430384|maq|0.0009018867619449693|cuc|0.0010153826903291647|cpa|0.001367737866802598|miz|0.0014181968531161112
mal|tam|0.012404936939122348|kan|0.022374413883415798|tel|0.03936983822728255|mar|0.046143877640848506|ory|0.0770002270011499
maq|vmy|0.0004500335909030166|miz|0.0005181225900502188|maj|0.0009018867619449693|cso|0.0014472053286865919|cuc|0.0015610953724661779
mar|tel|0.013578919940879463|kan|0.02422221916065302|hin|0.03914756392202031|guj|0.0392031961845061|tam|0.042629133662013825
