target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
sua|mee|0.0037470742860438045|lbb|0.005367081063369097|ata|0.005551505881101112|rai|0.005686654214253185|mbh|0.008231461277905777
sub|lin|0.015697486813032978|umb|0.04143965969812395|mcp|0.06072511628556168|bem|0.0688944055783815|bss|0.07434092099680983
suc|yka|0.00723179898191393|ceb|0.01162725512040636|mbb|0.013717678029553359|bkd|0.014199556140924061|tbl|0.015003517295973618
sue|bzh|0.006494168556216578|ksr|0.006616205032420728|bmu|0.006981579969486153|rro|0.007412243664157455|ded|0.0076539986779494175
sug|agg|0.004369325200843076|urt|0.010149394312397026|ipi|0.011639483258410552|kyc|0.017131848516398204|imo|0.01806406618627847
sui|imo|0.016035863403738672|ipi|0.01605020590574901|tcs|0.017327801460729937|kyc|0.01878562990292238|med|0.019227501508891597
suj|sxb|0.020237265351762183|lug|0.021033226097138556|luo|0.022129255664221033|spy|0.029783442064899496|kik|0.0347632043100339
suk|sxb|0.013961548436155368|luo|0.015235924339979636|lug|0.021550088506340374|spy|0.025128442148623274|kik|0.026618853586338104
sun|jav|0.01206227831543182|ind|0.014614886078109169|zlm|0.053504169142694805|iba|0.0592974507494236|zsm|0.06284392884718444
suo|agg|0.005429539171305741|urt|0.005603596455688133|ipi|0.014532740246603294|gai|0.016451425616000548|geb|0.016779768341694718
suq|amf|0.009579966762458874|mdy|0.010572765894475589|udu|0.017922683508500792|spy|0.027841150393832892|lug|0.03382126461938153
sur|nin|0.003922344800136091|hau|0.009340369045677498|nhu|0.01928606511763358|atg|0.01985479572953313|ken|0.021750149046785638
sut|jic|0.012195655692466334|cab|0.01596339657976424|caa|0.018069943981583545|kek|0.020436367640130078|acr|0.023505193570678103
suv|asm|0.008700487173553359|ben|0.021914755435568575|hlt|0.022283479360609922|taj|0.026225452288159257|zyp|0.026901835123737877
suw|sxb|0.01836803757129251|luo|0.019931977805844242|lug|0.022925631429609683|spy|0.029052020115114652|kik|0.03184817267224937
sux|sdh|0.009886046092215755|arb|0.02047256137154371|pes|0.03708509719098981|glk|0.03761392663734969|hye|0.048349657948878015
suy|kyz|0.013562575137711756|txu|0.0220829053254093|pab|0.028994282973970584|nab|0.03834845364194603|gyr|0.052334740881431197
sva|kat|0.0076830848433964176|hye|0.019046526555055548|azj|0.0193488668814806|tur|0.04400406938349597|glk|0.04451582133545096
svb|urt|0.0015337193800118358|agg|0.009390843723663337|gai|0.011198675904358532|geb|0.01156802167369873|ipi|0.011671618657889236
svc|acf|0.011932321087308469|ake|0.039195224185649045|car|0.04743063153633078|mbc|0.049637326924546296|srn|0.052109848131934776
sve|lex|0.010788609857716987|kje|0.014996636092847591|alp|0.028860703405552662|mkn|0.03642661298999637|rgu|0.03861872445616798
svm|lat|0.00933328444970009|ita|0.010598802217035493|bos|0.01453807150553483|hrv|0.021000602244486435|slv|0.024244168613460005
svs|nlg|0.002094815856201943|bgt|0.0035892060830983153|lgl|0.0053750412930302065|kwf|0.005815965137755189|kwd|0.006413962216096677
swb|wmw|0.025527459302249023|kde|0.03236266852944461|mgh|0.035488580647440926|nnq|0.042612044339367446|swh|0.048339126413989686
swc|bem|0.021175639696885323|zga|0.03925136266756384|ndj|0.04786783628101325|poy|0.050219287757464655|sxb|0.05091633224250544
swf|dik|0.0229013593459247|lug|0.03430239163293048|udu|0.044711261685837424|spy|0.044919462295834246|sxb|0.048398401333871445
swg|deu|0.009275479526142638|ltz|0.01577070654370682|ces|0.02041167823868622|slv|0.021629624576331514|oci|0.026537870164153078
swi|vie|0.01907952402343737|lao|0.03510138342658106|atb|0.04166790997892163|khm|0.06688473986041642|zyp|0.06851023831028026
swj|lin|0.030477921266926476|mcp|0.035889812335058606|bss|0.0373361429200093|ibo|0.0397122289787982|ken|0.041014606958033724
swk|nya|0.015398376422861623|seh|0.017567758331233627|sna|0.028063295194032112|mgh|0.032595499944900214|wmw|0.03695622050770865
swm|boj|0.002654998800883983|tbc|0.003015612829197179|gam|0.005096711081437362|nca|0.005512815505620258|msy|0.005558269582817574
swn|mlt|0.03797928912421651|ell|0.06078414813041708|grc|0.06503836331508055|lat|0.07244260964096887|mkd|0.07381704662860601
swo|cpb|0.008248310100655899|shp|0.00946216273541688|kaq|0.009582873445214421|cbr|0.012151268414010829|yaa|0.014070233023612657
swp|tte|0.004506900140260402|mox|0.0064000652652341635|bjz|0.010561404843863129|mcq|0.013270213295958599|mpx|0.013597263146940975
swq|meq|0.0044050296037748595|xed|0.004477338631356719|mqb|0.004824707829903191|muy|0.005323167399423779|bjv|0.02204890446414938
swr|yva|0.0008102617003668001|amk|0.0012925521340040142|agg|0.02901455979386558|urt|0.03727957893661005|ipi|0.04242048821007568
sws|lex|0.018508920595800518|kje|0.022578448219900314|alp|0.029408643459980364|yva|0.04254557271418312|amk|0.04306543034646026
swt|kje|0.011655215602590826|mkn|0.013449169479355363|lex|0.015796799069920126|rgu|0.015821432966045292|llg|0.017695581638166397
swu|blz|0.007521967518865938|mqj|0.029243369166612944|ptu|0.03023234275562719|tbl|0.03224963399363518|bps|0.03259402421737129
swv|bgc|0.00979947609836716|pan|0.014996893562371827|hin|0.015209641755301305|bfz|0.02280195497529064|kfs|0.023237046685853524
sww|klv|0.004250273341326994|upv|0.004609492147866378|lww|0.005230349452670322|tgp|0.0067413127163562046|tnn|0.020497901326379516
swx|pad|0.012639448399089091|tca|0.02634857828942481|ese|0.027891529911319782|mbj|0.030850582934371144|cbs|0.031178018317964663
swy|kyq|0.00854148271475183|bjv|0.01112794588941653|daa|0.011328235712421761|muy|0.015480366884069226|mqb|0.015691043286592814
sxe|lin|0.02256140718537987|mcp|0.028252153888925685|bss|0.03778769316158649|ken|0.041212425763348264|nhu|0.04291820111122037
sxg|atb|0.025470026817425214|asm|0.04684412304451867|hlt|0.047200231790396736|zyp|0.048375611625192466|vie|0.05060634977413439
sxk|pao|0.02532161545435178|ood|0.08243618004762612|tew|0.08537566284007886|dgr|0.11087643573219277|tac|0.11356927812617351
sxn|bps|0.016807741031769203|bpr|0.0179288186313803|tbl|0.01849694748931254|obo|0.023832201639780465|blz|0.024667054826945162
sxr|kne|0.03546608209976281|prf|0.035731895509527725|sgb|0.04466519493616962|fil|0.06257193834206712|agn|0.070655061451885
sxs|atg|0.0009079990363546163|ikk|0.004070495839740403|yor|0.013280461629090096|ibo|0.014911831263231388|kdl|0.015507049793231706
sxu|ces|0.011122155694803076|deu|0.01394082159607465|pol|0.02094855587990481|dan|0.023479898538960847|ltz|0.024627504894174788
sxw|fon|0.00346317953297853|nko|0.009478302769595427|yor|0.010182085832185994|ncu|0.014904140121486829|dop|0.0162955944437132
sya|iba|0.016818575110942473|ptu|0.029021200526509725|mqj|0.030534396281260062|jav|0.04731097140601412|ind|0.047318555511821944
syb|ceb|0.007568613977747546|mbb|0.01027900277798848|bkd|0.010325806441280281|yka|0.010396870696111164|mbt|0.012018267849066755
syc|hye|0.020286473850054117|kat|0.027225497018594433|azj|0.028475017930214078|sdh|0.030970253220904506|glk|0.03416607502638026
syi|bss|0.018817275204170848|ibo|0.02227950118587331|ken|0.02247988290237836|mcp|0.02335215186476797|nhu|0.027154338663574345
syk|xed|0.00036248454507663194|meq|0.0025724983678843847|mqb|0.0029335206810027015|muy|0.0031139287599829687|bjv|0.023583261774515762
syl|asm|0.008441213834043655|hlt|0.008939270842131702|ben|0.012329712148866478|zyp|0.013805136904454016|cek|0.01989089550430277
sym|box|0.011902189207439373|myk|0.01438748095463631|spp|0.01914470005868535|cme|0.020793106522684957|gux|0.023351395217511114
syn|glk|0.010396059076470631|pes|0.018113479614582647|sdh|0.027388543509916662|azj|0.03607706064387514|hye|0.036723904196666726
syo|khm|0.004827940198364127|lao|0.04009551935832172|vie|0.04916312045556989|zsm|0.05072393466148417|zlm|0.05606601471434423
sys|daa|0.02254043385947984|kyq|0.024023011541676676|bjv|0.03496184772578904|dik|0.035575529144611685|muy|0.04593655776161594
syw|suz|0.0005575426304801236|taj|0.004580793690804293|asm|0.026574650186806242|ben|0.027098413679870287|ory|0.03619777968715565
syx|mcp|0.023221259916040137|lin|0.02603011522681275|bss|0.03503942063012096|ken|0.03825054024629312|nhu|0.03912188673140619
sza|zlm|0.0054662996718261025|zsm|0.006319115147580055|khm|0.052428047569860914|iba|0.05645720071998882|jav|0.06517711370996253
szb|agg|0.005389785773639436|urt|0.011437693742927114|ipi|0.012141846531903274|kyc|0.017752200719943705|imo|0.018455489342926065
