target_lang|closest_lang_0|tree_dist_0|closest_lang_1|tree_dist_1|closest_lang_2|tree_dist_2|closest_lang_3|tree_dist_3|closest_lang_4|tree_dist_4
qxn|qxo|0.1428571428571429|qvh|0.23076923076923073|qwh|0.23076923076923073|qvm|0.23076923076923073|qxh|0.3846153846153846
qxo|qxn|0.1428571428571429|qvh|0.23076923076923073|qwh|0.23076923076923073|qvm|0.23076923076923073|qxh|0.3846153846153846
rai|lbb|0.16666666666666663|rug|0.2592592592592593|bnp|0.30434782608695654|mpx|0.3913043478260869|tgo|0.3913043478260869
rgu|txq|0.25|llg|0.25|lex|0.4782608695652174|kje|0.4782608695652174|hvn|0.5652173913043479
ron|lat|0.30000000000000004|ita|0.33333333333333337|cat|0.36|oci|0.3846153846153846|ast|0.40740740740740744
rop|tcs|0.10344827586206895|tpi|0.10344827586206895|eng|0.11111111111111116|srm|0.1724137931034483|srn|0.19999999999999996
rro|mpx|0.25|tgo|0.25|tte|0.33333333333333337|mox|0.36|bnp|0.41666666666666663
ruf|cwe|0.11111111111111116|kdc|0.1428571428571429|vid|0.18518518518518523|ziw|0.2142857142857143|ngp|0.2142857142857143
rug|lbb|0.2592592592592593|rai|0.2592592592592593|bnp|0.3846153846153846|mpx|0.46153846153846156|tgo|0.46153846153846156
rus|bel|0.1428571428571429|ukr|0.19999999999999996|slv|0.33333333333333337|slk|0.33333333333333337|pol|0.33333333333333337
sab|gym|0.1428571428571429|kvn|0.2857142857142857|cuk|0.2857142857142857|tfr|0.3846153846153846|tuf|0.5714285714285714
sdh|glk|0.2727272727272727|pst|0.4736842105263158|pes|0.5454545454545454|mjl|0.5789473684210527|tgk|0.5833333333333333
seh|nya|0.16666666666666663|poy|0.2727272727272727|ndj|0.2727272727272727|kde|0.33333333333333337|kam|0.33333333333333337
sey|snn|0.23076923076923073|cbu|0.75|con|0.75|ata|0.75|ura|0.75
sgb|agn|0.5|jvn|0.5384615384615384|tbl|0.5384615384615384|jav|0.5384615384615384|yka|0.5714285714285714
shp|kaq|0.125|cbs|0.33333333333333337|yaa|0.375|mcd|0.375|cbr|0.3846153846153846
sja|emp|0.4545454545454546|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143
slk|ces|0.17647058823529416|pol|0.25|rus|0.33333333333333337|bel|0.33333333333333337|slv|0.375
slv|bul|0.2941176470588235|mkd|0.2941176470588235|bos|0.30000000000000004|srp|0.30000000000000004|hrv|0.30000000000000004
sna|poy|0.30434782608695654|ndj|0.30434782608695654|seh|0.36|kde|0.36|kam|0.36
snd|pan|0.2222222222222222|mjl|0.4117647058823529|kfx|0.4444444444444444|bgc|0.4444444444444444|ory|0.4444444444444444
snn|sey|0.23076923076923073|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778
snp|kmu|0.19999999999999996|kyg|0.19999999999999996|bjr|0.5384615384615384|omw|0.5384615384615384|tbg|0.5384615384615384
som|cbu|0.8333333333333334|con|0.8333333333333334|ata|0.8333333333333334|ura|0.8333333333333334|guo|0.8461538461538461
soy|myk|0.3846153846153846|bba|0.4285714285714286|spp|0.4285714285714286|cme|0.4666666666666667|box|0.5294117647058824
spa|ast|0.1333333333333333|glg|0.1333333333333333|cat|0.1428571428571429|oci|0.1724137931034483|kea|0.1875
spp|myk|0.19999999999999996|soy|0.4285714285714286|bba|0.5|cme|0.5294117647058824|box|0.5789473684210527
spy|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
sri|myy|0.4285714285714286|tuo|0.5714285714285714|bao|0.6|gvc|0.6|pir|0.6
srm|srn|0.09677419354838712|djk|0.125|eng|0.1428571428571429|rop|0.1724137931034483|tcs|0.19999999999999996
srn|djk|0.09090909090909094|srm|0.09677419354838712|eng|0.1724137931034483|rop|0.19999999999999996|tcs|0.22580645161290325
srp|bos|0.08333333333333337|hrv|0.08333333333333337|slv|0.30000000000000004|bul|0.4285714285714286|mkd|0.4285714285714286
stp|ood|0.3846153846153846|tac|0.5384615384615384|ngu|0.5714285714285714|nhy|0.5714285714285714|crn|0.5714285714285714
sus|yal|0.1428571428571429|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778
suz|cbu|0.8|con|0.8|ata|0.8|ura|0.8|guo|0.8181818181818181
swe|dan|0.33333333333333337|isl|0.368421052631579|nld|0.5238095238095238|ltz|0.5238095238095238|afr|0.5454545454545454
swh|wmw|0.1428571428571429|ruf|0.2857142857142857|cwe|0.31034482758620685|vid|0.31034482758620685|kdc|0.33333333333333337
sxb|lug|0.2592592592592593|kam|0.3076923076923077|zga|0.3076923076923077|poy|0.33333333333333337|kik|0.33333333333333337
tac|ood|0.5|ngu|0.5384615384615384|stp|0.5384615384615384|nhy|0.5384615384615384|crn|0.5384615384615384
taj|cbu|0.8|con|0.8|ata|0.8|ura|0.8|guo|0.8181818181818181
tam|mal|0.19999999999999996|kan|0.5454545454545454|tel|0.6842105263157895|cbu|0.8666666666666667|con|0.8666666666666667
tav|bao|0.1428571428571429|tuo|0.23076923076923073|gvc|0.4285714285714286|pir|0.4285714285714286|tue|0.4666666666666667
tbc|met|0.15384615384615385|apr|0.23076923076923073|mee|0.2592592592592593|mbh|0.2857142857142857|bzh|0.40740740740740744
tbg|bjr|0.16666666666666663|omw|0.16666666666666663|agd|0.3846153846153846|awb|0.3846153846153846|snp|0.5384615384615384
tbl|bpr|0.23076923076923073|bps|0.23076923076923073|agn|0.4545454545454546|jvn|0.5|jav|0.5
tbz|gux|0.3548387096774194|gng|0.3548387096774194|xon|0.3548387096774194|box|0.3846153846153846|bba|0.4782608695652174
tca|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
tcs|tpi|0.06666666666666665|rop|0.10344827586206895|eng|0.1428571428571429|srm|0.19999999999999996|srn|0.22580645161290325
tee|tpt|0.25|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667
tel|kan|0.6|mal|0.6666666666666667|tam|0.6842105263157895|cbu|0.75|con|0.75
tew|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
