target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
mqb|meq|0.22970017721000305|0.00046237218470349475|0.4666666666666667|0.22197149277863892|xed|0.24833512287106077|0.0027724455388178095|0.3846153846153846|0.3576175384589799|muy|0.2539894758886428|0.000513635449786099|0.4666666666666667|0.29478812554947553|hau|0.36635985802205245|0.029507846948180014|0.5384615384615384|0.5311101886564389|daa|0.42641388170391575|0.024223462755245288|0.6|0.6550181823565019
mqj|ptu|0.11164452307941834|0.001600235904921645|0.33333333333333337|0.0|agn|0.2883648289767116|0.07526624746294554|0.5|0.2898282394671894|tbl|0.30715952569603483|0.058506680322127996|0.5384615384615384|0.324510358304438|sgb|0.3096649508279417|0.10118941365935404|0.5714285714285714|0.2563768673958997|bpr|0.3185825100364252|0.05980860037626608|0.5714285714285714|0.324510358304438
mri|tnk|0.40510305701618443|0.1091066695567461|0.5555555555555556|0.5506469459362516|tnp|0.41059005694443257|0.10969465346847486|0.5714285714285714|0.5506469459362516|tnn|0.41085672805429924|0.11049466679807457|0.5714285714285714|0.5506469459362516|upv|0.4531659539419328|0.13137524233888465|0.5555555555555556|0.6725670639313581|apb|0.45589649672928206|0.1758242041235084|0.5384615384615384|0.6534037476027994
msy|geb|0.07717175732658584|0.000746041210526759|0.23076923076923073|0.0|gai|0.12864623611216405|0.0013233237211075367|0.3846153846153846|0.0|ata|0.27097630844949944|0.03515114757072058|0.7777777777777778|0.0|byr|0.3651523160618118|0.015371900423252387|0.8333333333333334|0.24675171442884958|agg|0.3792709473968572|0.02047033977044639|0.8|0.31734250242012507
mto|mxq|0.32848890685524595|0.002009166100310878|0.3846153846153846|0.5988421698500425|mco|0.3289220719654922|0.003308661431049767|0.3846153846153846|0.5988421698500425|huv|0.46422629740785215|0.00773192535915988|0.7777777777777778|0.6071691890866188|azg|0.4669946652011749|0.011471130716683374|0.8181818181818181|0.571331046705023|trc|0.47170610072274993|0.010453922129893468|0.8333333333333334|0.571331046705023
muy|meq|0.1778568223036127|0.0009221032485896207|0.2222222222222222|0.3104261414400262|mqb|0.2539894758886428|0.000513635449786099|0.4666666666666667|0.29478812554947553|xed|0.27090782132432895|0.0029009714106625717|0.375|0.4348224925623243|hau|0.4009000194236962|0.02971990874516252|0.625|0.5479801495259261|daa|0.439545845012382|0.02384962995286374|0.6666666666666667|0.6281212384176156
mxb|xtm|0.05970560445548246|0.002646225131153242|0.17647058823529416|0.0|mie|0.059725939127238385|0.002707229146420998|0.17647058823529416|0.0|xtd|0.05984849200703998|0.003074887785825793|0.17647058823529416|0.0|mib|0.05990180733900647|0.0032348337817252578|0.17647058823529416|0.0|mit|0.05992881044839247|0.003315843109883255|0.17647058823529416|0.0
mxq|mco|0.08401839339937589|0.0020551801981276855|0.25|0.0|mto|0.32848890685524595|0.002009166100310878|0.3846153846153846|0.5988421698500425|poi|0.40789231497773826|0.008776937818727194|1.0|0.21490000711448753|zos|0.4094592064791422|0.013477612322939014|1.0|0.21490000711448753|huv|0.41623562393380303|0.005848366374301533|0.8333333333333334|0.40952517209377415
mxt|mih|0.033688183598287895|0.0010645507948637|0.09999999999999998|0.0|mio|0.06697646209075607|0.000929386272268233|0.19999999999999996|0.0|mxb|0.0766351041930088|0.007683090356804195|0.2222222222222222|0.0|mpm|0.08899909225062967|0.003839382015046877|0.26315789473684215|0.0|mib|0.089301800213708|0.00474750590428184|0.26315789473684215|0.0
myk|spp|0.2323405668292132|0.005730352151284311|0.19999999999999996|0.49129134833635524|cme|0.31152840605852156|0.013190798780757183|0.5|0.4213944193948076|soy|0.32404025436521194|0.038754510969390026|0.3846153846153846|0.5487508675108612|bba|0.3532780133569123|0.04789045890979008|0.4666666666666667|0.5452769144942803|fon|0.3856686358916148|0.04816282891603402|0.6|0.5088430787588106
