0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
-0.759084|-0.7777608|0.6129588|-0.6326335|-0.14735724|0.667775|0.9944785|-0.447639|-0.7103067|0.5911316|-0.51128906|0.33669838|-0.6260879|0.16809204|-0.28856906|-0.78475475
0.1278052|-0.23322211|0.8629624|0.1407867|0.12873143|1.1003624|-0.36594355|-0.5473703|0.084314235|0.61699384|-0.24552163|-0.25288567|0.73721075|0.21384445|0.07628991|0.017998446
0.29372057|-0.36587793|1.3349861|0.23430443|0.3287824|-0.07636007|-0.68242246|0.20905343|-0.2752314|0.17635603|0.6543614|-0.11210409|-0.037769236|0.71676517|-0.40570274|-0.02970444
-0.2655854|-0.21807571|-0.35405797|0.024067713|-0.18448026|-0.87577313|0.54579985|0.41153714|0.08252243|-0.7028666|-0.056678306|0.40992936|0.35323682|-0.12789881|0.7750906|0.28622466
-0.06463319|0.4178062|-0.6702432|0.31724182|-0.23609984|-1.1045835|0.7088093|0.40576208|0.33636448|-0.5457949|-0.49204078|0.116706245|0.6617576|-0.037826527|0.77482885|-0.4697384
-0.20534928|-0.38449556|-0.46576652|0.777689|-0.30363503|-0.9233414|0.6356163|0.6478305|0.25207126|-0.5320985|-0.47489774|-0.33675346|0.095963955|-0.47317237|0.16602999|0.11922593
1.5199753|0.28799966|-0.19449687|0.28605294|0.080758125|0.23765777|-1.1159279|-0.5892914|1.0554535|-0.27012116|-0.26631817|0.44546774|0.10199765|0.48549706|-0.8030274|-0.11505526
-0.6519803|-0.14846404|0.31823996|-0.82368743|-0.9710926|0.79610366|-0.37745646|0.57063615|-0.36584318|0.5888138|0.4561232|0.4367897|-0.579512|-0.7271725|-0.6805013|-0.6335537
0.14407983|-0.15307535|-0.02175749|1.3989718|0.2558047|-0.20872743|0.60776377|-0.03176745|0.1265514|-0.25460938|0.014060665|-0.27113056|-0.10958809|0.35837027|0.31094587|-0.033593837
0.7256072|0.30380994|0.37692425|0.50281507|-0.16363221|0.4756908|-0.9135383|-0.064754635|-0.58172333|0.16782972|0.55645704|0.7836622|0.45859796|0.201401|-0.2716248|-0.15857646
-0.26892385|-0.046567205|-0.40997165|0.14036396|-0.11207984|-0.7693893|0.8018088|0.95009357|-0.03136912|-1.016346|-0.27711198|0.022143994|0.27968636|-0.2472213|0.35370553|-0.10010972
0.052979454|-1.3668686|-0.2031513|0.2328089|0.6026614|-0.41000226|0.10818369|0.2490615|0.17681223|-0.68349385|-0.07744673|-0.2756221|-0.07581463|0.116463386|0.25707483|-0.11161754
0.014510303|0.3613988|0.39459363|-0.51420534|-0.40117413|0.749007|-0.4218927|-0.36654982|-0.15209283|0.9353974|0.16527116|-0.42145643|0.11004257|0.032736227|0.13330698|0.32649422
-0.045845527|-0.11937941|-0.5563448|0.24419533|0.24315463|-0.9316556|0.521058|0.84115607|0.42541325|-0.741622|-0.44666716|0.124479845|0.2805901|-0.5424977|0.7944599|0.3652797
-0.6158827|0.5192984|-0.2705782|-0.7119789|-0.73752725|0.68440616|-0.190099|0.3605848|-0.37640244|-0.13076082|-0.77472323|0.7627347|-0.30230886|-0.658202|-0.29184103|0.34671247
0.6212717|-0.38653815|-0.40003592|-0.34908447|0.6199888|-0.099380404|-0.75598973|-0.46419224|0.5827826|0.2953855|0.24062511|-0.7933737|-0.7132578|0.452385|-0.472773|0.22482358
-0.77500117|0.06171148|-0.47027487|-0.7255311|-0.5722413|0.78223085|0.00960605|0.20866802|-0.54834586|-0.052394483|0.51041937|0.33071175|0.52350825|-0.8746203|-0.23308997|-0.5980973
0.56314594|0.56572783|0.19675449|-0.849883|-0.25580105|0.71742666|0.7150414|-0.113493584|-0.34383696|0.5425628|-0.7456019|0.8504202|0.45728382|0.004918738|-0.14088443|0.8176456
-0.15518588|0.5895793|0.623674|-0.32590365|-0.0082466565|1.0348519|-0.5879196|-0.15953939|-0.12865269|0.44909236|-0.09395406|-0.43118447|-0.25966966|-0.28419524|-0.5871549|0.5581174
-0.34502476|-0.24720597|-0.33344987|-0.10194482|-0.46784404|-0.92523694|0.40494755|0.5404872|0.27074575|-0.7715341|0.07648555|-0.025228726|0.33193123|-0.60138506|0.620317|0.08167526
0.29318357|0.2542287|0.77481776|-0.3068975|0.36388963|0.56269026|-1.2534951|-0.55457455|0.026251173|-0.14036757|-0.09801071|-0.21892917|-0.34035897|-0.3564833|-0.586367|-0.20315304
-0.048177358|-0.4341208|0.29619312|0.32981366|-0.088030875|-0.0120017305|0.3461409|-0.08328417|-0.0943532|0.99567676|0.24202773|0.08713312|1.1892385|0.33092418|-0.43641213|0.28860226
0.076609634|0.85208803|0.17667082|0.24623823|0.022722693|-0.21331891|0.018229222|0.97922736|0.25453556|-1.0014747|-0.2674097|-0.18691905|0.4544701|0.1414872|-0.16555466|0.13860741
0.24145436|-0.28876862|0.19666936|0.9584918|0.18569933|-0.234906|-0.080557406|-0.09533698|0.25663957|-0.25758225|0.10856193|-0.67538226|0.9323685|0.46789274|0.14988855|-0.21963651
